feature_gas_0,feature_gas_1,feature_gas_2,feature_gas_3,feature_gas_4,target_gas_5
349.46,351.54,386.0816326530612,402.84,408.52,401.1224489795918
351.54,386.0816326530612,402.84,408.52,401.1224489795918,400.34
386.0816326530612,402.84,408.52,401.1224489795918,400.34,401.1
402.84,408.52,401.1224489795918,400.34,401.1,400.24
408.52,401.1224489795918,400.34,401.1,400.24,399.52
401.1224489795918,400.34,401.1,400.24,399.52,399.8979591836735
400.34,401.1,400.24,399.52,399.8979591836735,400.3
401.1,400.24,399.52,399.8979591836735,400.3,400.02
400.24,399.52,399.8979591836735,400.3,400.02,399.9
399.52,399.8979591836735,400.3,400.02,399.9,399.62
399.8979591836735,400.3,400.02,399.9,399.62,399.88
400.3,400.02,399.9,399.62,399.88,399.3265306122449
400.02,399.9,399.62,399.88,399.3265306122449,399.2156862745098
399.9,399.62,399.88,399.3265306122449,399.2156862745098,397.22222222222223
399.62,399.88,399.3265306122449,399.2156862745098,397.22222222222223,399.4230769230769
399.88,399.3265306122449,399.2156862745098,397.22222222222223,399.4230769230769,403.1
399.3265306122449,399.2156862745098,397.22222222222223,399.4230769230769,403.1,400.2340425531915
399.2156862745098,397.22222222222223,399.4230769230769,403.1,400.2340425531915,400.42
397.22222222222223,399.4230769230769,403.1,400.2340425531915,400.42,399.84
399.4230769230769,403.1,400.2340425531915,400.42,399.84,400.06
403.1,400.2340425531915,400.42,399.84,400.06,400.16
400.2340425531915,400.42,399.84,400.06,400.16,400.14
400.42,399.84,400.06,400.16,400.14,401.16
399.84,400.06,400.16,400.14,401.16,399.74
400.06,400.16,400.14,401.16,399.74,401.30555555555554
400.16,400.14,401.16,399.74,401.30555555555554,387.0
400.14,401.16,399.74,401.30555555555554,387.0,401.84313725490193
401.16,399.74,401.30555555555554,387.0,401.84313725490193,400.6734693877551
399.74,401.30555555555554,387.0,401.84313725490193,400.6734693877551,400.16326530612247
401.30555555555554,387.0,401.84313725490193,400.6734693877551,400.16326530612247,399.44
387.0,401.84313725490193,400.6734693877551,400.16326530612247,399.44,399.6326530612245
401.84313725490193,400.6734693877551,400.16326530612247,399.44,399.6326530612245,400.52
400.6734693877551,400.16326530612247,399.44,399.6326530612245,400.52,400.2448979591837
400.16326530612247,399.44,399.6326530612245,400.52,400.2448979591837,402.14
399.44,399.6326530612245,400.52,400.2448979591837,402.14,400.88
399.6326530612245,400.52,400.2448979591837,402.14,400.88,400.08
400.52,400.2448979591837,402.14,400.88,400.08,399.6326530612245
400.2448979591837,402.14,400.88,400.08,399.6326530612245,399.6458333333333
402.14,400.88,400.08,399.6326530612245,399.6458333333333,400.64
400.88,400.08,399.6326530612245,399.6458333333333,400.64,400.58
400.08,399.6326530612245,399.6458333333333,400.64,400.58,400.36
399.6326530612245,399.6458333333333,400.64,400.58,400.36,400.28
399.6458333333333,400.64,400.58,400.36,400.28,400.4
400.64,400.58,400.36,400.28,400.4,399.46
400.58,400.36,400.28,400.4,399.46,360.16
